date,age,cases
2020-06-01,00_04,9
2020-06-01,05_09,13
2020-06-01,10_14,16
2020-06-01,15_19,32
2020-06-01,20_24,75
2020-06-01,25_29,104
2020-06-01,30_34,74
2020-06-01,35_39,78
2020-06-01,40_44,74
2020-06-01,45_49,93
2020-06-01,50_54,87
2020-06-01,55_59,105
2020-06-01,60+,533
2020-06-02,00_04,14
2020-06-02,05_09,15
2020-06-02,10_14,18
2020-06-02,15_19,36
2020-06-02,20_24,82
2020-06-02,25_29,103
2020-06-02,30_34,117
2020-06-02,35_39,84
2020-06-02,40_44,82
2020-06-02,45_49,92
2020-06-02,50_54,83
2020-06-02,55_59,71
2020-06-02,60+,547
2020-06-03,00_04,10
2020-06-03,05_09,13
2020-06-03,10_14,21
2020-06-03,15_19,47
2020-06-03,20_24,72
2020-06-03,25_29,101
2020-06-03,30_34,88
2020-06-03,35_39,74
2020-06-03,40_44,73
2020-06-03,45_49,78
2020-06-03,50_54,78
2020-06-03,55_59,78
2020-06-03,60+,487
2020-06-04,00_04,13
2020-06-04,05_09,15
2020-06-04,10_14,16
2020-06-04,15_19,33
2020-06-04,20_24,68
2020-06-04,25_29,95
2020-06-04,30_34,65
2020-06-04,35_39,81
2020-06-04,40_44,56
2020-06-04,45_49,75
2020-06-04,50_54,80
2020-06-04,55_59,84
2020-06-04,60+,449
2020-06-05,00_04,13
2020-06-05,05_09,10
2020-06-05,10_14,13
2020-06-05,15_19,32
2020-06-05,20_24,64
2020-06-05,25_29,87
2020-06-05,30_34,82
2020-06-05,35_39,60
2020-06-05,40_44,70
2020-06-05,45_49,73
2020-06-05,50_54,72
2020-06-05,55_59,61
2020-06-05,60+,366
2020-06-06,00_04,6
2020-06-06,05_09,15
2020-06-06,10_14,13
2020-06-06,15_19,27
2020-06-06,20_24,56
2020-06-06,25_29,65
2020-06-06,30_34,71
2020-06-06,35_39,52
2020-06-06,40_44,52
2020-06-06,45_49,49
2020-06-06,50_54,57
2020-06-06,55_59,47
2020-06-06,60+,200
2020-06-07,00_04,5
2020-06-07,05_09,16
2020-06-07,10_14,13
2020-06-07,15_19,16
2020-06-07,20_24,51
2020-06-07,25_29,66
2020-06-07,30_34,65
2020-06-07,35_39,52
2020-06-07,40_44,52
2020-06-07,45_49,30
2020-06-07,50_54,40
2020-06-07,55_59,48
2020-06-07,60+,205
2020-06-08,00_04,8
2020-06-08,05_09,19
2020-06-08,10_14,18
2020-06-08,15_19,29
2020-06-08,20_24,79
2020-06-08,25_29,68
2020-06-08,30_34,82
2020-06-08,35_39,72
2020-06-08,40_44,68
2020-06-08,45_49,85
2020-06-08,50_54,75
2020-06-08,55_59,70
2020-06-08,60+,303
2020-06-09,00_04,16
2020-06-09,05_09,12
2020-06-09,10_14,18
2020-06-09,15_19,37
2020-06-09,20_24,70
2020-06-09,25_29,99
2020-06-09,30_34,93
2020-06-09,35_39,82
2020-06-09,40_44,68
2020-06-09,45_49,68
2020-06-09,50_54,54
2020-06-09,55_59,81
2020-06-09,60+,357
2020-06-10,00_04,14
2020-06-10,05_09,21
2020-06-10,10_14,26
2020-06-10,15_19,26
2020-06-10,20_24,73
2020-06-10,25_29,104
2020-06-10,30_34,89
2020-06-10,35_39,68
2020-06-10,40_44,72
2020-06-10,45_49,75
2020-06-10,50_54,67
2020-06-10,55_59,58
2020-06-10,60+,383
2020-06-11,00_04,9
2020-06-11,05_09,11
2020-06-11,10_14,17
2020-06-11,15_19,33
2020-06-11,20_24,66
2020-06-11,25_29,83
2020-06-11,30_34,73
2020-06-11,35_39,83
2020-06-11,40_44,72
2020-06-11,45_49,55
2020-06-11,50_54,72
2020-06-11,55_59,57
2020-06-11,60+,273
2020-06-12,00_04,13
2020-06-12,05_09,22
2020-06-12,10_14,14
2020-06-12,15_19,31
2020-06-12,20_24,61
2020-06-12,25_29,79
2020-06-12,30_34,96
2020-06-12,35_39,77
2020-06-12,40_44,79
2020-06-12,45_49,77
2020-06-12,50_54,68
2020-06-12,55_59,62
2020-06-12,60+,252
2020-06-13,00_04,10
2020-06-13,05_09,14
2020-06-13,10_14,21
2020-06-13,15_19,28
2020-06-13,20_24,50
2020-06-13,25_29,72
2020-06-13,30_34,69
2020-06-13,35_39,68
2020-06-13,40_44,46
2020-06-13,45_49,66
2020-06-13,50_54,65
2020-06-13,55_59,43
2020-06-13,60+,225
2020-06-14,00_04,19
2020-06-14,05_09,10
2020-06-14,10_14,20
2020-06-14,15_19,25
2020-06-14,20_24,51
2020-06-14,25_29,58
2020-06-14,30_34,81
2020-06-14,35_39,75
2020-06-14,40_44,62
2020-06-14,45_49,63
2020-06-14,50_54,58
2020-06-14,55_59,56
2020-06-14,60+,171
2020-06-15,00_04,11
2020-06-15,05_09,17
2020-06-15,10_14,15
2020-06-15,15_19,38
2020-06-15,20_24,67
2020-06-15,25_29,80
2020-06-15,30_34,72
2020-06-15,35_39,78
2020-06-15,40_44,69
2020-06-15,45_49,85
2020-06-15,50_54,76
2020-06-15,55_59,69
2020-06-15,60+,252
2020-06-16,00_04,13
2020-06-16,05_09,21
2020-06-16,10_14,24
